"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","17,310,639","100"
"2","apple.com","4,476,370","100"
"3","www.google.com","11,867,925","100"
"4","microsoft.com","4,112,738","99"
"5","www.blogger.com","24,812,402","99"
"6","play.google.com","2,293,700","99"
"7","support.google.com","4,445,223","99"
"8","linkedin.com","8,582,629","99"
"9","adobe.com","2,924,364","98"
"10","plus.google.com","12,544,042","98"
"11","wordpress.org","9,518,934","98"
"12","en.wikipedia.org","5,431,326","98"
"13","maps.google.com","4,464,913","98"
"14","cloudflare.com","4,912,447","98"
"15","docs.google.com","2,184,377","98"
"16","sites.google.com","1,641,569","97"
"17","accounts.google.com","2,527,488","97"
"18","drive.google.com","1,679,597","97"
"19","europa.eu","1,652,597","97"
"20","googleusercontent.com","2,144,388","97"
"21","youtu.be","3,718,775","97"
"22","mozilla.org","1,904,094","97"
"23","vimeo.com","3,097,891","97"
"24","facebook.com","45,005,878","96"
"25","line.me","550,050","96"
"26","amazon.com","3,982,107","96"
"27","bbc.co.uk","1,415,350","96"
"28","medium.com","1,078,023","96"
"29","es.wikipedia.org","771,021","96"
"30","vk.com","1,597,084","96"
"31","bp.blogspot.com","15,788,548","96"
"32","creativecommons.org","1,530,748","96"
"33","istockphoto.com","3,051,551","96"
"34","github.com","1,931,446","96"
"35","t.me","458,831","95"
"36","www.yahoo.com","921,750","95"
"37","wikimedia.org","1,359,647","95"
"38","washingtonpost.com","861,140","95"
"39","photos.google.com","229,924","95"
"40","forbes.com","915,148","95"
"41","google.de","1,094,842","95"
"42","imdb.com","1,237,812","95"
"43","live.com","734,508","95"
"44","dropbox.com","923,886","95"
"45","mail.ru","476,761","95"
"46","theguardian.com","1,185,499","95"
"47","myspace.com","1,281,666","95"
"48","google.co.uk","547,501","95"
"49","google.co.jp","632,296","95"
"50","google.es","411,101","95"
"51","reuters.com","723,066","95"
"52","news.google.com","681,809","95"
"53","google.fr","385,069","95"
"54","jimdofree.com","1,644,214","95"
"55","networkadvertising.org","711,508","95"
"56","dailymotion.com","1,072,821","95"
"57","feedburner.com","1,750,359","95"
"58","bbc.com","643,406","95"
"59","mail.google.com","427,410","95"
"60","cnn.com","1,211,323","95"
"61","hugedomains.com","5,188,382","95"
"62","w3.org","1,063,111","95"
"63","whatsapp.com","1,489,698","95"
"64","pt.wikipedia.org","357,437","95"
"65","nih.gov","1,020,936","95"
"66","fr.wikipedia.org","525,102","95"
"67","google.com.br","266,664","95"
"68","uol.com.br","558,895","95"
"69","developers.google.com","874,250","95"
"70","policies.google.com","1,020,628","95"
"71","slideshare.net","866,969","95"
"72","globo.com","382,287","95"
"73","nytimes.com","1,672,270","95"
"74","news.yahoo.com","571,727","95"
"75","gstatic.com","580,778","95"
"76","msn.com","996,042","95"
"77","paypal.com","877,019","95"
"78","nypost.com","273,752","94"
"79","who.int","1,113,253","94"
"80","www.gov.uk","463,815","94"
"81","cdc.gov","570,538","94"
"82","get.google.com","520,474","94"
"83","code.google.com","325,300","94"
"84","latimes.com","576,568","94"
"85","steampowered.com","210,372","94"
"86","bit.ly","3,893,514","94"
"87","privacyshield.gov","418,647","94"
"88","nasa.gov","541,064","94"
"89","aboutads.info","490,648","94"
"90","twitter.com","48,131,621","94"
"91","books.google.com","344,333","94"
"92","time.com","614,639","94"
"93","wikia.com","471,082","94"
"94","un.org","406,629","94"
"95","abril.com.br","227,098","94"
"96","draft.blogger.com","5,652,016","94"
"97","rakuten.co.jp","580,759","94"
"98","tools.google.com","1,467,995","94"
"99","addthis.com","712,482","94"
"100","fandom.com","426,087","94"
"101","google.it","410,581","94"
"102","buydomains.com","1,175,209","94"
"103","change.org","370,609","94"
"104","myaccount.google.com","254,166","94"
"105","webmd.com","543,349","94"
"106","www.wix.com","887,903","94"
"107","booking.com","355,006","94"
"108","dailymail.co.uk","780,651","94"
"109","cpanel.net","1,217,771","94"
"110","translate.google.com","274,212","94"
"111","archive.org","863,411","94"
